CustomerID,Age,Gender,SubscriptionType,MonthlyCharges,TenureMonths,SupportTickets,PaymentMethod,SatisfactionScore,UsageHoursPerWeek,Churn
CUST-1027,19.0,Female,Basic,35.15,49,4,Electronic Check,5.0,25.5,No
CUST-1388,39.0,Female,Basic,56.11,44,1,Electronic Check,9.0,24.1,No
CUST-4292,27.0,Male,Enterprise,151.02,52,0,Electronic Check,7.0,40.2,No
CUST-2974,22.0,Female,Basic,51.14,41,3,Electronic Check,2.0,38.2,Yes
CUST-1033,61.0,Female,,79.23,31,0,Electronic Check,10.0,21.1,No
CUST-1841,35.0,Female,Enterprise,119.71,7,5,Bank Transfer,2.0,29.3,Yes
CUST-2062,38.0,Male,Enterprise,150.59,40,0,Credit Card,7.0,28.5,No
CUST-1052,26.0,Male,Premium,101.24,49,7,Mailed Check,4.0,31.5,Yes
CUST-3957,57.0,Male,Basic,50.1,53,10,Bank Transfer,2.0,38.4,Yes
CUST-3744,65.0,Male,Basic,,14,7,Electronic Check,4.0,10.9,Yes
CUST-1094,32.0,Female,Basic,57.0,47,0,Credit Card,10.0,21.0,No
CUST-4363,46.0,Female,Basic,32.9,39,1,Credit Card,5.0,32.2,No
CUST-2678,23.0,Female,Basic,45.52,28,6,Credit Card,6.0,29.0,Yes
CUST-1135,45.0,Male,Premium,123.33,42,2,Electronic Check,7.0,31.5,No
CUST-1953,18.0,Male,Premium,70.0,34,0,Electronic Check,7.0,25.1,No
CUST-3802,32.0,Female,Premium,123.82,2,9,Credit Card,1.0,25.0,Yes
CUST-4082,49.0,Male,Enterprise,146.44,11,6,Electronic Check,1.0,29.7,Yes
CUST-1204,37.0,Female,Basic,51.4,68,3,Bank Transfer,6.0,27.9,No
CUST-1681,52.0,Female,Basic,55.64,34,2,Credit Card,9.0,34.9,No
CUST-3760,66.0,Male,Premium,128.19,36,2,Credit Card,3.0,25.7,Yes
CUST-2272,47.0,Male,Premium,114.11,5,0,Electronic Check,8.0,19.5,No
CUST-2789,27.0,Female,Basic,44.79,53,3,Electronic Check,4.0,1.0,Yes
CUST-1868,75.0,Female,Basic,53.03,5,3,Bank Transfer,5.0,36.2,Yes
CUST-1271,21.0,Female,Basic,41.12,17,2,Credit Card,9.0,31.7,No
CUST-1906,22.0,Female,Enterprise,163.41,11,6,Credit Card,4.0,28.7,No
CUST-3600,60.0,Female,Basic,70.39,13,4,Credit Card,7.0,26.8,Yes
CUST-3277,62.0,Female,Premium,112.38,19,3,Electronic Check,4.0,21.5,Yes
CUST-3801,26.0,Male,Basic,47.15,8,5,Electronic Check,2.0,10.4,Yes
CUST-1197,74.0,Male,Basic,45.39,49,4,Credit Card,7.0,41.4,No
CUST-2875,50.0,Male,Premium,104.18,54,4,Mailed Check,3.0,24.4,Yes
CUST-2495,66.0,Male,Premium,115.06,15,1,Credit Card,9.0,14.5,Yes
CUST-4214,39.0,Male,Basic,40.81,43,3,Credit Card,2.0,35.8,Yes
CUST-4059,42.0,Female,Basic,53.01,67,5,Credit Card,6.0,21.9,No
CUST-2813,43.0,Male,Enterprise,149.54,28,3,Credit Card,6.0,25.0,No
CUST-3844,52.0,Male,Enterprise,122.27,69,4,Mailed Check,3.0,12.0,Yes
CUST-1574,39.0,Female,,40.91,29,4,Electronic Check,5.0,37.2,Yes
CUST-3718,63.0,Female,Basic,45.67,20,6,Credit Card,3.0,10.2,Yes
CUST-2682,53.0,Male,Premium,107.74,16,1,Bank Transfer,5.0,15.9,Yes
CUST-4401,25.0,Female,Basic,50.09,22,3,Bank Transfer,1.0,34.0,Yes
CUST-4455,37.0,Female,Premium,104.01,14,5,Electronic Check,3.0,20.8,Yes
CUST-1451,40.0,Female,,122.14,18,0,Credit Card,7.0,35.2,No
CUST-2704,29.0,Female,Basic,35.05,52,5,Electronic Check,4.0,35.8,Yes
CUST-3607,25.0,Male,Basic,36.84,54,4,Electronic Check,1.0,40.9,Yes
CUST-1322,65.0,Male,Premium,130.0,59,4,Bank Transfer,6.0,35.1,No
CUST-2911,37.0,Male,Premium,96.67,32,2,Electronic Check,2.0,17.1,Yes
CUST-2546,55.0,Male,Enterprise,176.9,65,1,Electronic Check,4.0,42.4,No
CUST-2812,32.0,Male,Enterprise,158.74,16,1,Electronic Check,6.0,27.4,No
CUST-1180,54.0,Male,Basic,38.67,48,4,Credit Card,6.0,15.8,No
CUST-2175,54.0,Female,Premium,93.38,53,10,Bank Transfer,1.0,23.0,Yes
CUST-4174,72.0,Female,Enterprise,157.91,57,5,Mailed Check,4.0,18.7,Yes
CUST-2766,18.0,Female,Premium,108.35,18,5,Credit Card,7.0,26.4,Yes
CUST-2658,26.0,Female,Premium,112.11,65,2,Credit Card,1.0,18.3,Yes
CUST-2767,42.0,Male,Premium,107.52,13,0,Mailed Check,9.0,14.2,No
CUST-3765,47.0,Male,Enterprise,116.97,55,1,Electronic Check,10.0,20.6,No
CUST-4447,23.0,Female,Basic,44.17,53,0,Electronic Check,7.0,36.5,No
CUST-1512,70.0,Female,Premium,81.87,4,0,Mailed Check,9.0,33.4,No
CUST-2949,51.0,Male,Basic,40.27,2,5,Electronic Check,5.0,22.7,Yes
CUST-1299,49.0,Female,Basic,61.29,67,2,Mailed Check,5.0,1.0,No
CUST-2781,55.0,Female,Enterprise,124.9,68,3,Bank Transfer,1.0,16.5,Yes
CUST-3727,33.0,Male,Enterprise,158.22,47,0,Credit Card,8.0,23.6,No
CUST-3859,35.0,Female,Basic,61.81,44,0,Electronic Check,8.0,26.2,No
CUST-3777,59.0,Male,Premium,83.86,12,2,Credit Card,1.0,10.5,Yes
CUST-2981,37.0,Male,Premium,84.73,67,3,Electronic Check,2.0,32.8,No
CUST-3187,39.0,Female,Basic,49.31,17,2,Credit Card,5.0,15.1,Yes
CUST-2430,45.0,Male,Basic,43.12,57,1,Electronic Check,9.0,33.2,No
CUST-1692,49.0,Female,Enterprise,151.74,16,1,Credit Card,6.0,27.5,No
CUST-1315,48.0,Female,Enterprise,167.88,15,2,Electronic Check,8.0,29.5,No
CUST-1645,29.0,Female,Premium,130.0,26,0,Electronic Check,10.0,33.1,No
CUST-4091,36.0,Female,Basic,37.08,1,7,Bank Transfer,1.0,39.7,Yes
CUST-3343,25.0,Female,Premium,110.48,11,6,Bank Transfer,5.0,21.0,Yes
CUST-2594,63.0,Male,Premium,130.0,19,2,Mailed Check,6.0,21.4,No
CUST-4276,42.0,Male,Basic,57.79,48,2,Bank Transfer,1.0,6.3,Yes
CUST-1053,56.0,Male,Premium,112.48,8,3,Credit Card,3.0,31.8,Yes
CUST-3494,27.0,Female,Basic,,7,5,Credit Card,1.0,37.7,Yes
CUST-1949,38.0,Female,Enterprise,144.82,19,1,Electronic Check,8.0,20.6,No
CUST-4425,26.0,Male,Premium,86.98,50,6,Credit Card,1.0,14.4,No
CUST-1292,37.0,Male,Basic,73.3,20,1,Credit Card,9.0,34.4,No
CUST-3257,71.0,Female,Enterprise,137.68,33,1,Credit Card,7.0,47.1,No
CUST-2407,63.0,Male,Basic,39.57,63,3,Mailed Check,10.0,22.4,No
CUST-3231,67.0,Female,Basic,50.57,58,0,Credit Card,10.0,37.8,No
CUST-1145,41.0,Male,Enterprise,115.21,53,2,Bank Transfer,6.0,14.0,No
CUST-2229,21.0,Female,Enterprise,129.71,29,1,Credit Card,5.0,18.8,No
CUST-2663,56.0,Male,Enterprise,151.38,7,1,Credit Card,7.0,14.0,No
CUST-1077,21.0,Male,Enterprise,140.03,71,3,Mailed Check,3.0,19.3,No
CUST-2072,58.0,Male,Enterprise,111.43,7,0,Credit Card,10.0,17.2,No
CUST-1439,59.0,Male,Basic,40.33,47,6,Bank Transfer,3.0,26.5,Yes
CUST-1018,41.0,Female,Enterprise,152.63,40,3,Electronic Check,5.0,10.0,Yes
CUST-3482,54.0,Female,Enterprise,164.14,19,6,Electronic Check,3.0,10.5,Yes
CUST-2676,54.0,Male,Basic,48.41,16,9,Bank Transfer,3.0,12.2,Yes
CUST-1550,75.0,Male,,44.85,31,5,Credit Card,2.0,14.6,Yes
CUST-4078,,Female,Basic,57.75,69,4,Electronic Check,6.0,15.2,No
CUST-2611,40.0,Male,Enterprise,164.35,54,2,Credit Card,6.0,26.1,No
CUST-1810,58.0,Female,Premium,92.32,59,1,Credit Card,10.0,25.8,No
CUST-1185,60.0,Male,Premium,90.17,44,4,Electronic Check,1.0,26.8,Yes
CUST-3472,37.0,Male,Premium,112.63,9,2,Mailed Check,5.0,25.3,Yes
CUST-2559,63.0,Male,Enterprise,143.38,46,3,Bank Transfer,4.0,12.6,Yes
CUST-1280,51.0,Male,Premium,101.21,27,5,Credit Card,1.0,6.6,Yes
CUST-1444,57.0,Male,Premium,105.44,30,3,Bank Transfer,3.0,31.5,Yes
CUST-1812,18.0,Female,Basic,52.08,34,4,Electronic Check,4.0,37.5,Yes
CUST-3554,59.0,Male,Premium,90.96,33,2,Mailed Check,4.0,31.0,No
CUST-1409,21.0,Female,Premium,96.8,39,2,Electronic Check,9.0,29.9,No
CUST-1865,45.0,Female,Premium,88.81,29,0,Bank Transfer,7.0,23.3,No
CUST-4411,59.0,Male,Premium,77.92,62,2,Credit Card,8.0,12.8,No
CUST-3300,27.0,Female,Basic,30.29,69,1,Credit Card,9.0,33.0,No
CUST-4481,20.0,Male,Enterprise,,22,1,Bank Transfer,7.0,27.8,No
CUST-4284,21.0,Male,Enterprise,183.46,3,2,Electronic Check,6.0,22.6,Yes
CUST-1555,71.0,Female,Premium,97.03,72,1,Credit Card,7.0,22.1,No
CUST-3834,61.0,Male,Enterprise,128.14,54,4,Bank Transfer,5.0,22.5,No
CUST-1415,47.0,Female,Basic,48.55,72,2,Bank Transfer,7.0,27.5,No
CUST-4117,56.0,Female,Basic,46.48,59,0,Credit Card,9.0,19.8,No
CUST-3861,59.0,Male,Premium,116.44,3,1,Credit Card,3.0,5.1,Yes
CUST-3453,47.0,Male,Basic,47.01,10,1,Credit Card,7.0,5.4,No
CUST-4190,38.0,Female,Premium,102.57,43,10,Mailed Check,2.0,29.9,No
CUST-1840,74.0,Female,Premium,118.26,60,2,Bank Transfer,4.0,22.6,No
CUST-3631,23.0,Male,Basic,45.2,65,2,Mailed Check,10.0,22.9,No
CUST-2570,18.0,Male,Basic,58.71,46,5,Bank Transfer,5.0,26.0,Yes
CUST-1031,75.0,Female,Basic,63.65,53,0,Credit Card,10.0,26.5,No
CUST-2897,66.0,Male,Enterprise,132.11,23,1,Bank Transfer,5.0,29.9,No
CUST-2861,43.0,Female,Premium,80.03,30,4,Bank Transfer,5.0,40.6,Yes
CUST-2719,60.0,Female,Basic,57.44,54,5,Mailed Check,3.0,40.7,Yes
CUST-2193,72.0,Male,Enterprise,146.01,7,0,Bank Transfer,7.0,24.4,No
CUST-2058,67.0,Female,Basic,32.2,25,0,Bank Transfer,9.0,36.3,No
CUST-3677,66.0,Male,Basic,21.92,67,4,Credit Card,3.0,30.9,Yes
CUST-2707,70.0,Female,Enterprise,148.74,54,0,Credit Card,8.0,29.8,No
CUST-4338,72.0,Male,Basic,59.98,13,9,Electronic Check,2.0,36.2,Yes
CUST-1352,55.0,Male,Premium,,21,2,Bank Transfer,6.0,13.3,No
CUST-2966,43.0,Female,Premium,106.49,55,0,Bank Transfer,6.0,60.0,No
CUST-4085,19.0,Male,Premium,102.63,36,5,Credit Card,2.0,27.2,Yes
CUST-4096,28.0,Female,Basic,,12,3,Electronic Check,4.0,17.5,Yes
CUST-1171,30.0,Female,Enterprise,197.58,24,0,Electronic Check,10.0,13.7,No
CUST-3338,48.0,Male,Premium,112.76,33,3,Mailed Check,3.0,35.4,Yes
CUST-2207,21.0,Female,Premium,109.81,71,8,Electronic Check,5.0,19.9,Yes
CUST-1872,25.0,Male,Premium,108.45,51,4,Bank Transfer,5.0,21.1,No
CUST-1552,64.0,Female,Enterprise,165.47,43,5,Bank Transfer,1.0,23.3,No
CUST-3078,68.0,Male,Premium,76.76,7,6,Credit Card,1.0,28.5,Yes
CUST-4011,66.0,Male,Enterprise,184.79,61,1,Electronic Check,8.0,3.0,No
CUST-3914,19.0,Female,Enterprise,128.95,28,6,Credit Card,1.0,25.1,Yes
CUST-1193,45.0,Male,Enterprise,110.0,41,4,Electronic Check,1.0,15.6,Yes
CUST-3429,19.0,Male,Basic,30.43,50,9,Credit Card,1.0,9.5,Yes
CUST-3621,33.0,Male,Basic,47.1,63,1,Bank Transfer,9.0,19.9,No
CUST-3955,22.0,Male,Basic,51.86,17,3,Credit Card,2.0,26.4,Yes
CUST-3335,23.0,Female,Basic,57.87,33,1,Electronic Check,1.0,27.0,Yes
CUST-3115,24.0,Female,Basic,46.33,11,4,Credit Card,2.0,36.0,Yes
CUST-3410,75.0,Male,Basic,59.17,16,2,Credit Card,8.0,36.3,No
CUST-1713,29.0,Male,Premium,104.88,71,1,Bank Transfer,7.0,28.5,No
CUST-1184,32.0,Male,Premium,80.47,65,3,Credit Card,6.0,36.3,No
CUST-1034,42.0,Female,Enterprise,135.14,15,1,Mailed Check,9.0,21.9,No
CUST-1167,32.0,Male,Premium,121.76,34,0,Bank Transfer,9.0,27.6,No
CUST-2232,50.0,Female,Enterprise,128.07,45,1,Credit Card,7.0,14.5,No
CUST-4469,55.0,Male,Basic,46.4,53,4,Bank Transfer,2.0,33.5,Yes
CUST-2117,24.0,Female,Premium,94.49,72,3,Credit Card,1.0,17.8,Yes
CUST-1487,40.0,Male,Enterprise,151.19,44,0,Credit Card,10.0,23.6,No
CUST-3502,29.0,Female,Premium,70.0,35,6,Electronic Check,1.0,37.4,Yes
CUST-2109,31.0,Male,Premium,107.81,58,2,Credit Card,5.0,26.6,No
CUST-1998,51.0,Male,Enterprise,110.0,45,7,Bank Transfer,1.0,23.2,Yes
CUST-3632,26.0,Male,Premium,97.04,8,3,Bank Transfer,1.0,52.0,Yes
CUST-2978,66.0,Female,Basic,44.13,68,3,Bank Transfer,7.0,21.5,No
CUST-2428,59.0,Female,Basic,40.95,24,3,Bank Transfer,3.0,36.2,Yes
CUST-2483,60.0,Male,Enterprise,146.18,31,4,Credit Card,2.0,7.9,Yes
CUST-1458,57.0,Female,Premium,84.74,46,2,Credit Card,6.0,23.0,No
CUST-3425,75.0,Female,Basic,57.83,41,2,Credit Card,3.0,14.7,Yes
CUST-3114,47.0,Male,Premium,102.44,11,4,Bank Transfer,5.0,21.1,Yes
CUST-1986,32.0,Female,Premium,80.24,39,1,Electronic Check,7.0,16.6,No
CUST-3035,22.0,Female,Premium,85.48,21,3,Bank Transfer,5.0,20.3,Yes
CUST-2979,26.0,Female,Basic,67.97,48,1,Mailed Check,9.0,20.4,No
CUST-1195,59.0,Female,Premium,94.04,9,0,Mailed Check,6.0,20.7,No
CUST-4045,50.0,Female,Basic,41.35,58,7,Bank Transfer,3.0,23.6,Yes
CUST-4466,56.0,Female,Enterprise,167.47,15,2,Bank Transfer,9.0,38.6,No
CUST-4321,67.0,Male,Basic,48.7,43,3,Credit Card,3.0,4.8,Yes
CUST-1858,27.0,Male,Premium,99.5,20,4,Bank Transfer,4.0,2.6,Yes
CUST-2172,73.0,Female,Premium,99.81,54,0,Mailed Check,10.0,15.8,Yes
CUST-4071,29.0,Female,Enterprise,134.64,7,2,Bank Transfer,6.0,23.8,Yes
CUST-1230,61.0,Male,Premium,90.29,39,2,Credit Card,7.0,35.7,No
CUST-4415,27.0,Female,Premium,93.06,65,6,Electronic Check,6.0,15.8,No
CUST-1730,29.0,Female,Basic,61.92,52,0,Credit Card,10.0,12.1,No
CUST-3543,72.0,Male,Premium,93.15,3,2,Electronic Check,6.0,29.7,Yes
CUST-1922,66.0,Male,Enterprise,161.06,22,3,Credit Card,7.0,27.9,No
CUST-4197,26.0,Female,Enterprise,163.37,67,0,Credit Card,7.0,38.0,No
CUST-1679,26.0,Female,Premium,91.6,22,5,Electronic Check,2.0,19.5,Yes
CUST-1290,46.0,Female,Basic,60.11,2,1,Bank Transfer,9.0,41.1,No
CUST-3633,50.0,Female,Basic,50.91,39,2,Mailed Check,8.0,25.9,No
CUST-3899,38.0,Female,Premium,105.35,29,1,Electronic Check,8.0,47.9,No
CUST-2124,62.0,Male,Premium,113.84,18,4,Bank Transfer,5.0,25.7,Yes
CUST-1879,53.0,Female,Basic,30.25,9,4,Bank Transfer,5.0,14.1,Yes
CUST-3133,34.0,Female,Premium,120.53,16,2,Mailed Check,6.0,1.2,Yes
CUST-3690,19.0,Male,Premium,99.65,18,0,Credit Card,6.0,23.2,No
CUST-4232,74.0,Female,Premium,107.65,72,0,Bank Transfer,8.0,21.2,No
CUST-2624,28.0,Male,Premium,106.47,2,0,Credit Card,10.0,19.0,Yes
CUST-1296,20.0,Male,Basic,54.95,23,5,Credit Card,1.0,12.4,Yes
CUST-2728,28.0,Female,Enterprise,150.56,10,0,Electronic Check,10.0,19.1,No
CUST-3026,22.0,Male,Enterprise,123.87,72,1,Bank Transfer,7.0,17.7,No
CUST-3178,46.0,Male,Enterprise,110.0,43,3,Electronic Check,5.0,12.3,No
CUST-1416,46.0,Female,Basic,38.34,26,2,Mailed Check,7.0,19.7,No
CUST-3128,49.0,Male,Basic,46.07,9,2,Credit Card,6.0,23.5,Yes
CUST-1941,40.0,Female,Basic,54.17,51,2,Bank Transfer,3.0,22.4,Yes
CUST-1081,59.0,Male,Premium,94.31,19,1,Mailed Check,3.0,4.5,Yes
CUST-3395,20.0,Male,Premium,91.08,6,0,Credit Card,9.0,15.8,No
CUST-3974,29.0,Female,Enterprise,168.23,28,4,Credit Card,5.0,36.1,Yes
CUST-3763,43.0,Female,Basic,,11,1,Mailed Check,10.0,23.0,No
CUST-2098,66.0,Male,Basic,55.94,54,2,Electronic Check,7.0,29.2,No
CUST-3687,63.0,Male,Basic,46.51,27,3,Bank Transfer,7.0,15.4,No
CUST-4022,23.0,Female,Enterprise,164.55,47,1,Mailed Check,7.0,31.0,No
CUST-1462,71.0,Female,Enterprise,181.97,46,3,Electronic Check,4.0,35.2,No
CUST-1606,27.0,Female,Enterprise,153.77,37,6,Credit Card,2.0,28.5,No
CUST-2757,51.0,Male,Basic,40.44,32,8,Bank Transfer,1.0,15.3,Yes
CUST-1316,47.0,Male,Premium,101.83,31,1,Credit Card,8.0,11.8,No
CUST-1788,21.0,Female,Basic,61.41,46,1,Electronic Check,7.0,16.7,No
CUST-1786,42.0,Female,Basic,57.37,30,0,Credit Card,10.0,4.1,No
CUST-2396,22.0,Male,Basic,53.16,12,7,Bank Transfer,4.0,31.6,Yes
CUST-1403,45.0,Male,Basic,55.19,14,4,Credit Card,4.0,19.1,Yes
CUST-2189,48.0,Male,Premium,103.57,49,7,Credit Card,6.0,29.2,Yes
CUST-1839,37.0,Male,Enterprise,147.88,50,6,Credit Card,3.0,30.7,Yes
CUST-2079,43.0,Male,Premium,99.6,12,3,Credit Card,5.0,22.3,No
CUST-1258,54.0,Male,Basic,50.43,2,4,Mailed Check,3.0,29.4,Yes
CUST-2593,73.0,Female,Premium,110.05,55,3,Electronic Check,7.0,7.9,No
CUST-3836,50.0,Male,Basic,60.07,25,1,Bank Transfer,10.0,12.6,No
CUST-2085,64.0,Male,Enterprise,157.47,43,6,Credit Card,2.0,28.7,Yes
CUST-2038,74.0,Female,Premium,112.94,36,4,Bank Transfer,2.0,12.4,Yes
CUST-1791,48.0,Male,Premium,93.11,61,0,Credit Card,9.0,18.8,No
CUST-1480,18.0,Male,Premium,112.16,37,7,Bank Transfer,1.0,32.7,Yes
CUST-1239,66.0,Female,Enterprise,110.0,30,2,Electronic Check,7.0,27.7,No
CUST-3841,65.0,Male,Basic,35.9,36,3,Mailed Check,6.0,29.8,No
CUST-1737,33.0,Female,,154.3,6,1,Bank Transfer,6.0,8.7,Yes
CUST-1719,45.0,Male,Premium,110.31,53,2,Electronic Check,2.0,20.9,Yes
CUST-1440,48.0,Male,Premium,114.77,30,1,Electronic Check,9.0,22.9,No
CUST-2188,47.0,Male,Basic,50.81,37,0,Mailed Check,8.0,45.2,No
CUST-1175,66.0,Female,Basic,42.67,36,4,Bank Transfer,3.0,12.4,Yes
CUST-3654,30.0,Male,Basic,49.08,51,5,Electronic Check,1.0,30.9,Yes
CUST-3211,52.0,Female,Basic,49.4,4,3,Mailed Check,7.0,26.7,Yes
CUST-2371,64.0,Male,Basic,60.79,14,4,Bank Transfer,2.0,7.8,No
CUST-4178,51.0,Male,Premium,104.02,63,4,Credit Card,3.0,25.3,Yes
CUST-3793,72.0,Female,Basic,52.26,50,6,Electronic Check,1.0,36.5,Yes
CUST-3993,20.0,Female,Basic,59.88,70,1,Bank Transfer,7.0,15.5,No
CUST-4435,31.0,Male,Premium,84.34,35,0,Mailed Check,10.0,21.5,No
CUST-1103,35.0,Female,Basic,58.74,53,0,Credit Card,8.0,20.8,No
CUST-2392,53.0,Male,Basic,59.72,24,2,Electronic Check,5.0,21.0,Yes
CUST-1394,68.0,Male,Basic,51.85,71,2,Bank Transfer,7.0,5.3,No
CUST-1240,66.0,Male,Basic,57.12,5,2,Credit Card,10.0,25.0,No
CUST-3331,28.0,Male,Premium,93.58,22,2,Electronic Check,6.0,28.6,No
CUST-1753,28.0,Female,Enterprise,169.35,47,1,Bank Transfer,10.0,10.1,No
CUST-2872,42.0,Male,Enterprise,171.4,1,3,Credit Card,1.0,29.3,Yes
CUST-2065,45.0,Female,Premium,,66,0,Credit Card,6.0,19.7,No
CUST-2898,46.0,Female,Basic,60.45,33,7,Credit Card,3.0,18.6,Yes
CUST-3237,70.0,Male,Premium,103.67,62,4,Mailed Check,5.0,11.7,No
CUST-2412,57.0,Female,,65.85,62,7,Credit Card,2.0,25.0,Yes
CUST-1045,69.0,Female,Enterprise,177.69,24,3,Bank Transfer,5.0,27.9,Yes
CUST-3716,40.0,Female,Premium,98.2,17,1,Electronic Check,9.0,9.3,Yes
CUST-2747,53.0,Female,Basic,46.99,25,7,Bank Transfer,3.0,10.9,Yes
CUST-1643,46.0,Female,Basic,45.32,9,3,Credit Card,2.0,35.4,Yes
